Acronym,Projeto,Integrations
tbgr,tbgr-sincronizacao-tabelas-java , original-legacy; tbgr-corp; conv-integration; tbgr-integration
tbgr,tbgr-eventos-java , tbgr-corp; original-legacy
tbgr,tbgr-produtos-java , original-legacy; tbgr-corp; conv-integration; tbgr-integration
tbgr,tbgr-consultas-java , original-legacy; tbgr-corp; conv-integration; tbgr-integration
tbgr,tbgr-servicos-cmm-java , original-legacy; tbgr-corp; conv-integration; tbgr-integration
trfo,trfo-tratar-cobranca-batch-java , trfo-corp; original-legacy
trfo,trfo-cmm-rest-java , original-legacy; ctas-integration ; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp
trfo,trfo-servicos-cmm-java , original-legacy; ctas-integration ; acpf-integration ; mcsv-integration ; atcl-integration ;cnio-corp
trfo,trfo-servicos-java , original-legacy; trfo-corp
trfo,trfo-contratacao-java , original-legacy; trfo-corp
mcsv,mcsv-project-generator , #reip-integration
mcsv,mcsv-project-generator , #reip-integration
mcsv,mcsv-cobranca-tarifas-java , cbic-integration; fwcl-corp
mcsv,mcsv-open-banking-handoff-java , mcsv-corp; opbk-integration
mcsv,mcsv-cartao-goleiro-java , ctcr-integration
mcsv,mcsv-interno-renegociacao-posvenda-java , mcsv-corp; mcsv-integration; empc-integration; rnco-integration; cdps-integration
mcsv,mcsv-interno-consulta-saldo-java , mcsv-corp; mcsv-integration; ctas-integration
mcsv,mcsv-interno-dominios-java , acpf-integration;mcsv-integration;atcl-integration; cnio-corp; ctas-integration; ctcr-integration; original-legacy; acad-integration; tbgr-integration
mcsv,mcsv-desafios-notificacoes-java , retr-integration
mcsv,mcsv-integracao-appsflyer-java , camp-integration
mcsv,mcsv-interno-bens-cadastrados-java , cdps-integration; bpmo-integration; acpf-integration; atcl-integration; mcsv-integration ;tbgr-integration
mcsv,mcsv-interno-consulta-cessao-credito-java , mcsv-integration; cess-integration; cnio-corp; acpf-integration; mcsv-integration; atcl-integration
mcsv,mcsv-interno-consulta-parcelados-java , epat-integration; acpf-integration; mcsv-integration; atcl-integration; cnio-corp
mcsv,mcsv-converter-informacoes-cliente-java , mcsv-integration; ctcr-integration; cdps-integration; glpf-integration
mcsv,mcsv-pagamento-parcelado-java , mcsv-corp; mcsv-integration; empc-integration
