Sigla,Projeto,Arquivo,URL
ctas,ctas-solicita-encerramento-java,CdpsConsultaInformacoesFeignService.java,original.url.rest.cdps-consulta-informacoes-url
ctas,ctas-solicita-encerramento-java,CdpsOperacoesClientesFeignService.java,cdps.operacoes.clientes.java.url
ctas,ctas-solicita-encerramento-java,CdpsProdutosFeignService.java,original.url.rest.cdps-produtos-url
ctas,ctas-solicita-encerramento-java,CenoEnviaComunicacaoFeignService.java,original.url.rest.ceno-envia-comunicacao-java-url
ctas,ctas-solicita-encerramento-java,CtasBloqueioDesbloqueioContasFeignService.java,original.url.rest.ctas-bloqueio-desbloqueio-conta-java-url
ctas,ctas-solicita-encerramento-java,CtasEfetivaCreditoFeignService.java,original.url.rest.ctas-efetivar-credito-url
ctas,ctas-solicita-encerramento-java,CtasEfetivaDebitoFeignService.java,original.url.rest.ctas-efetivar-debitos-url
ctas,ctas-solicita-encerramento-java,CtrcContasFeignervice.java,ctcr.contas.java.url
ctas,ctas-solicita-encerramento-java,PixAccessKeysAccountClosureFeignService.java,original.url.rest.inp-pix-java-url
ctas,ctas-solicita-encerramento-java,RttoChequeEspecialFeignService.java,original.url.rest.consultar-cheque-especial-java-url
ctas,ctas-solicita-encerramento-java,RttoEncerraChequeEspecialFeignService.java,original.url.rest.cheque-especial-java-url
parc,mcsv-interno-consulta-parcelados-java,ConsultaParceladosFeignService.java,epat.consulta.transacoes.java.url
parc,apio-boletos-parceiro-java,PartnerFeign.java,partner.product.url
parc,apio-boletos-parceiro-java,SlipFeign.java,cbic.slip.url
rtto,rtto-consultar-contrato-cheque-especial-java,CdpsContasClientesFeign.java,original.url.cdps.contas.clientes.java
rtto,rtto-consultar-contrato-cheque-especial-java,CrplDominiosFeign.java,original.url.crpl.dominios.java
rtto,rtto-consultar-contrato-cheque-especial-java,CtasSaldoFeign.java,original.url.ctas.saldo.java
rtto,rtto-repactuacao-taxas-batch-java,AuthTokenClientInterface.java,atco.auth.sistemas.java.url
rtto,rtto-repactuacao-taxas-batch-java,SincronizationTableClientInterface.java,tbgr.sincronizacao.tabelas.java.url
rtto,rtto-consultar-cheque-especial-java,CdpsContasClientesFeign.java,original.url.cdps.contas.clientes.java
rtto,rtto-consultar-cheque-especial-java,CrplDominiosFeign.java,original.url.crpl.dominios.java
rtto,mcsv-rtto-cheque-empresarial-java,CetFeignClientService.java,url.api.cet
rtto,mcsv-rtto-cheque-empresarial-java,CreditLimitFeignClientService.java,url.api.limit
rtto,mcsv-rtto-cheque-empresarial-java,DocumentFeignClientService.java,gedc.consultas.java.url
rtto,mcsv-rtto-cheque-empresarial-java,OperationChargesFeignClientService.java,url.api.operation
rtto,mcsv-rtto-cheque-empresarial-java,OperationFeignClientService.java,url.api.operation
rtto,mcsv-rtto-cheque-empresarial-java,PricingRatingFeignClientService.java,url.api.pricing
rtto,mcsv-rtto-cheque-empresarial-java,RetentionFeignClientService.java,url.api.retention
tbgr,tbgr-canal-cartorios-java,NotaryOfficesServiceFeign.java,url.rest.cartorio}/v1/notary-offices"
trfo,trfo-cmm-rest-java,AccountFeingService.java,ctas.cmm.rest.java.url
atmo,atmo-hub-digital-java,AccountsClient.java,url.accounts
atmo,atmo-hub-digital-java,ServcoreClient.java,url.servcore
mcsv,mcsv-cobranca-tarifas-java,GetValueRateFeignService.java,cbic.tarifas.java.url
